transaction_count,unique_actions,days_active,avg_daily_transactions,total_deposits,total_borrows,total_repays,total_redeems,avg_deposit_size,avg_borrow_size,avg_repay_size,deposit_count,borrow_count,repay_count,redeemunderlying_count,liquidationcall_count,liquidation_count,total_volume,repay_ratio,borrow_deposit_ratio,activity_diversity,userWallet,credit_score
1,1,1,1.0,1109908.0,0.0,0.0,0.0,1109908.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0000b252c943089fbba5554a1d196ef79bc77e4f,607.5
14,3,76,0.18421052631578946,2.500000001947075e+18,1.4170933200616298e+21,0.0,1.4889621234257987e+21,8.333333339823584e+17,1.4170933200616298e+21,0.0,3,1,0,10,0,0,0.0,0.0,566.837327583182,0.6,0x0000ce08fa224696a819877070bf378e8b131acf,0.0
29,4,80,0.3625,1.983901697249004e+20,3.000000000008307e+20,3.0041094863201875e+20,2.142302981764546e+19,2.20433521916556e+19,5.0000000000138445e+19,4.2915849804574106e+19,9,6,7,7,0,0,7.988011183577498e+20,1.0013698287706232,1.5121716989144598,0.8,0x00010a708585ba4812a1c5976182626c75cb7a6b,867.5
2,1,2,1.0,1.2652993450826146e+16,0.0,0.0,0.0,6326496725413073.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00016fc0c9f7620e920e1423fd455f9574f48025,609.0
1,1,1,1.0,1.0080314238445638e+18,0.0,0.0,0.0,1.0080314238445638e+18,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0002761e848b24046a53d494847b11a3e1d36b09,607.5
2,1,8,0.25,1010439.0,0.0,0.0,0.0,505219.5,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00027e45436f11ec8549b7d5e0b86748ee61c13d,609.0
4,4,1,4.0,5e+21,1.3e+18,1.3e+18,5e+21,5e+21,1.3e+18,1.3e+18,1,1,1,1,0,0,5.0026e+21,1.0,0.00026,0.8,0x0003816b25fd3d6c112eb65c089760fa3f791947,780.0
37,3,101,0.36633663366336633,1.8200000002238802e+19,915968086.0,0.0,5.174908901697236e+20,1.5166666668532334e+18,183193617.2,0.0,12,5,0,20,0,0,0.0,0.0,5.032791680699592e-11,0.6,0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,723.5
2,2,1,2.0,1050025562.0,0.0,0.0,1050025797.0,1050025562.0,0.0,0.0,1,0,0,1,0,0,0.0,0.0,0.0,0.4,0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,615.0
24,4,83,0.2891566265060241,2034568202.0,1945000000.0,1396327014.0,1326617422.0,254321025.25,324166666.6666667,279265402.8,8,6,5,5,0,0,5375895216.0,0.7179059197943445,0.9559768004277499,0.8,0x0003f46779806fe779e7f30eec95dbdb4d45840b,831.7905919794345
